MANDT	LIFNR	BANKS	BANKL	BANKN	BKONT	BVTYP	KOINH	XEZER
100	0000200084	DE	91334880	1279758206		0001	Sandried Metallbau e.K.	
100	0000200085	DE	96667658	7380699155		0001	Erlenstein Kunststofftechnik KGaA	
100	0000200088	DE	96053374	5395300052		0001	Weißfels Aufzugstechnik GmbH & Co. KG	
100	0000200091	DE	90797140	2701809810		0001	Erlenbrück Kunststofftechnik GmbH	
100	0000200092	FR	8638255577	98916003155		0001	Weidenhaus Formenbau S.A.	
100	0000200095	DE	94192033	7419954711		0001	Ulmenmark Papier GmbH	
100	0000200097	DE	97356231	4722813275		0001	Brandhof Getränke eG	
100	0000200098	DE	97391944	8740963400		0001	Brandau Getränke AG	
100	0000200099	DE	99517823	2588273951		0001	Steinberg Recycling OHG	
100	0000200100	IT	9993470922	173381909792		0001	Grünwald Schleiftechnik S.r.l.	
100	0000200101	DE	97442256	9547324296		0001	Waldburg Schleiftechnik AG	
100	0000200102	DE	98575727	0665004364		0001	Südhof Schweißtechnik UG (haftungsbeschränkt)	
100	0000200103	IT	4414441981	721074983377		0001	Espensee Stahlbau S.p.A.	
100	0000200106	DE	90624729	6191109251		0001	Rheinried Textilien KGaA	
100	0000200107	CH	46836	086065622726		0001	Brandbrück Getränke AG	
100	0000200108	FR	7235415637	93919445283		0001	Bernfeld Anlagenbau S.A.R.L.	
100	0000200109	DE	95866309	9131069227		0001	Kiefernried Möbelwerke GmbH	
100	0000200110	DE	93217499	0080871633		0001	Oststein Handel GmbH & Co. KG	
100	0000200111	PL	05790233	2218539055234756		0001	Steinsee Apparatebau Sp. z o.o.	
100	0000200112	DE	96776855	5961171860		0001	Rotweg Antriebstechnik AG	
100	0000200113	DE	95734099	7142731354		0001	Hochmark Bedachungen OHG	
100	0000200116	AT	41911	14478613679		0001	Zederfurt Formenbau KG	
100	0000200117	DE	99980192	6277266235		0001	Elektro Brandt GmbH & Co. KG	
100	0000200118	DE	97384959	1832893344		0001	Rheinhaus Bedachungen UG (haftungsbeschränkt)	
100	0000200119	CH	37291	343121989764		0001	Espenhaus Speditionen AG	
100	0000200120	NL	NYUY	3554649986		0001	Lindental Textilien N.V.	
100	0000200121	FR	8467714406	60508848383		0001	Ahornburg Verpackungen S.A.	
100	0000200122	DE	97202045	0493641613		0001	Steinried Formenbau AG	
100	0000200124	DE	93252505	3425723855		0001	Steinbrück Pumpen GmbH	
100	0000200125	DE	90510923	9220451260		0001	Neuhaus Zerspanung UG (haftungsbeschränkt)	
100	0000200126	DE	99832734	3782123661		0001	Hochtal Recycling GmbH	
100	0000200130	DE	97761201	5843973955		0001	Lindenfeld Schleiftechnik e.K.	
100	0000200131	DE	93275260	8115263902		0001	Kleinsee Baustoffe GmbH	
100	0000200132	DE	94878164	2646038719		0001	Altfeld Metallbau GmbH & Co. KG	
100	0000200133	DE	91021948	7898882842		0001	Kastanienhaus Textilien GmbH	
100	0000200134	DE	95843155	0989267879		0001	Espental Umformtechnik GmbH	
100	0000200136	DE	97722963	9230539154		0001	Kiefernfeld Umformtechnik GmbH	
100	0000200138	DE	97505630	9375116655		0001	Eichstein Systemtechnik GmbH	
100	0000200139	AT	96064	76078817028		0001	Gründorf Messtechnik KG	
100	0000200140	PL	68184397	8239704783726013		0001	Ulmenberg Armaturen Sp. z o.o.	
100	0000200141	DE	99039212	7053717205		0001	Kleinmark Aufzugstechnik GmbH	
100	0000200142	DE	97009858	8035530681		0001	Bergmark Behälterbau eG	
100	0000200143	DE	99565860	1038482526		0001	Sandburg Fördertechnik OHG	
100	0000200144	DE	97612801	5148781159		0001	Hartried Chemie GmbH & Co. KG	
100	0000200145	DE	92325731	0984385048		0001	Westwald Bedachungen GmbH	
100	0000200146	DE	92953773	5645655848		0001	Buchenbrück Fördertechnik GmbH & Co. KG	
100	0000200147	DE	95948223	3933405149		0001	Ahorndorf Pumpen KG	
100	0000200148	DE	95624485	6731027087		0001	Talhof Oberflächentechnik GmbH	
100	0000200150	FR	4287913589	83506699511		0001	Eichstein Pumpen S.A.R.L.	
100	0000200151	DE	96717681	9016900115		0001	Zederwald Behälterbau GmbH & Co. KG	
100	0000200152	DE	99564709	4780744174		0001	Rotweg Lagertechnik GmbH & Co. KG	
100	0000200153	DE	99579790	5958869022		0001	Neustein Formenbau KG	
100	0000200154	IT	6416781324	479001777715		0001	Nordau Pumpen S.p.A.	
100	0000200155	DE	97319896	1699294117		0001	Bergsee Speditionen KG	
100	0000200156	DE	99265219	1709631134		0001	Brandbrück Druckguss GmbH	
100	0000200158	NL	HOAI	1706586374		0001	Hochweg Haustechnik N.V.	
100	0000200160	DE	93985600	7318363076		0001	Lindenbach Getränke GmbH	
100	0000200161	DE	90819346	0189519687		0001	Ulmenau Bedachungen GmbH	
100	0000200162	CH	68815	797397295642		0001	Weißbach Handel AG	
100	0000200164	DE	96205026	2799007035		0001	Fichtenried Möbelwerke eG	
100	0000200168	PL	72155940	4074142958580205		0001	Neusee Elektrotechnik S.A.	
100	0000200169	DE	95080132	1056294113		0001	Reingrund Speditionen AG	
100	0000200170	DE	96259327	2858834038		0001	Mühlbrück Haustechnik GmbH	
100	0000200171	DE	90504064	6672992937		0001	Reinfels Handel GmbH	
100	0000200173	NL	IQVO	9560283305		0001	Kastaniensee Messtechnik B.V.	
100	0000200175	AT	09987	26689754674		0001	Neusee Anlagenbau AG	
100	0000200177	DE	99314463	9786743264		0001	Reinstein Zerspanung GmbH	
100	0000200179	AT	42029	54527030741		0001	Brandtal Logistik AG	
100	0000200180	DE	99513447	5090476107		0001	Steinbach Druckguss GmbH	
100	0000200181	DE	93139670	2818030723		0001	Fichtenburg Recycling GmbH	
100	0000200182	AT	55905	99319377466		0001	Weißtal Fördertechnik GmbH	
100	0000200183	NL	KMFJ	7475019629		0001	Bernmark Antriebstechnik B.V.	
100	0000200184	DE	94734220	7773334208		0001	Lindenwald Werkzeugbau eG	
100	0000200186	DE	94733492	9496403245		0001	Kiefernried Textilien GmbH & Co. KG	
100	0000200188	DE	97577163	9669135929		0001	Ostfurt Elektrotechnik GmbH & Co. KG	
100	0000200190	DE	95615778	2472347449		0001	Kleinhaus Druckguss AG	
100	0000200191	DE	92050307	6034957784		0001	Erlenweg Werkzeugbau GmbH & Co. KG	
100	0000200192	AT	62312	16085961088		0001	Ostberg Pumpen AG	
100	0000200193	DE	97826974	1388236210		0001	Feldfurt Anlagenbau GmbH	
100	0000200194	DE	97826974	1388236210		0001	Altfurt Hydraulik AG	
100	0000200195	DE	97937911	0256053447		0001	Rheinfels Bedachungen GmbH	
100	0000200197	DE	97937911	0256053447		0001	Harthof Apparatebau GmbH	
100	0000200198	DE	91815448	9933164110		0001	Kastanienau Verpackungen UG (haftungsbeschränkt)	
100	0000200199	DE	90428965	3296232035		0001	Kiefernstein Metallbau GmbH	
100	0000200201	NL	BBQE	7470766190		0001	Erlenfels Elektrotechnik B.V.	
100	0000200203	DE	90428965	3296232035		0001	Ostau Präzisionsteile AG	
100	0000200204	DE	97231704	8228190109		0001	Dornried Armaturen GmbH	
100	0000200205	FR	9632596819	93303693523		0001	Dornwald Antriebstechnik S.A.	
100	0000200206	DE	92842262	5473691173		0001	Weißwald Bauelemente GmbH & Co. KG	
100	0000200209	AT	96607	71140718363		0001	Mühlbach Elektrotechnik GmbH	
100	0000200210	IT	1817945581	935897243041		0001	Ulmensee Anlagenbau S.p.A.	
100	0000200214	DE	97231704	8228190109		0001	Neufeld Fahrzeugteile GmbH & Co. KG	
100	0000200216	AT	81514	63594938639		0001	Dornsee Anlagenbau AG	
100	0000200217	DE	94636578	7360226530		0001	Ostberg Elektrotechnik AG	
100	0000200218	DE	97296124	8977809130		0001	Weißmark Logistik GmbH & Co. KG	
100	0000200219	DE	98775190	7813991559		0001	Nordstein Armaturen UG (haftungsbeschränkt)	
100	0000200220	DE	94744081	5957440312		0001	Lärchental Getränke e.K.	
100	0000200222	DE	98421103	0120287571		0001	Waldfurt Recycling eG	
100	0000200224	DE	90784269	9684605742		0001	Langau Metallbau GmbH	
100	0000200225	AT	09115	87398480307		0001	Buchenhof Elektrotechnik GmbH	
100	0000200226	DE	90309162	5910432944		0001	Lärchenwald Behälterbau KG	
100	0000200228	DE	97031879	7629249285		0001	Falkental Metallbau KG	
100	0000200229	DE	91859632	3077500026		0001	Zederheim Bedachungen GmbH & Co. KG	
100	0000200230	CH	03916	654163369073		0001	Brandheim Speditionen GmbH	
100	0000200231	DE	91781807	9482024753		0001	Weißdorf Dichtungstechnik KG	
100	0000200232	FR	1575746176	84046321776		0001	Feldweg Behälterbau S.A.R.L.	
100	0000200233	DE	97090347	7389710013		0001	Kiefernheim Messtechnik OHG	
100	0000200234	DE	99791406	2675696247		0001	Erlenau Apparatebau OHG	
100	0000200235	AT	23906	53926879528		0001	Brandmark Speditionen KG	
100	0000200236	AT	65752	14183936853		0001	Grünau Oberflächentechnik KG	
100	0000200237	DE	92428408	8667507488		0001	Rotgrund Stahlbau GmbH	
100	0000200238	DE	95468781	6640607088		0001	Buchengrund Papier GmbH	
100	0000200239	DE	91280855	0258245761		0001	Weißtal Präzisionsteile AG	
100	0000200240	DE	93208782	2484662306		0001	Altau Druckguss GmbH & Co. KG	
100	0000200241	DE	95537276	6573008210		0001	Altmark Lebensmittel UG (haftungsbeschränkt)	
100	0000200242	DE	90489791	4222453752		0001	Brandsee Oberflächentechnik GmbH	
100	0000200243	DE	96491708	9619695232		0001	Bergwald Umformtechnik GmbH	
100	0000200244	DE	94015487	8917133173		0001	Rheinbach Papier GmbH & Co. KG	
100	0000200245	DE	91776276	6466497827		0001	Grünfurt Bedachungen GmbH	
100	0000200246	DE	98697797	8217310397		0001	Mühlbrück Elektrotechnik GmbH	
100	0000200248	DE	95630387	2874658667		0001	Kastanienheim Schweißtechnik AG	
100	0000200249	DE	95036755	2235032427		0001	Kleinberg Präzisionsteile e.K.	
100	0000200250	DE	93152504	6902216113		0001	Sandmark Getränke KG	
100	0000200252	DE	98039528	1536143044		0001	Altbach Hydraulik e.K.	
100	0000200257	CH	12905	294964315112		0001	Grünmark Bauelemente AG	
100	0000200260	DE	93951162	2718170104		0001	Espenfurt Klimatechnik GmbH	
100	0000200261	DE	96394339	9846570978		0001	Brandhaus Zerspanung KG	
100	0000200262	DE	95034315	8811987135		0001	Kastanienried Bauelemente GmbH	
100	0000200263	DE	99900299	9812980357		0001	Rheintal Papier KG	
100	0000200264	DE	94042194	0449462137		0001	Langtal Hydraulik KG	
100	0000200265	DE	97210420	0547943642		0001	Ulmenau Speditionen AG	
100	0000200266	DE	97628247	2947446285		0001	Feldau Behälterbau GmbH	
100	0000200267	DE	96564744	3124063548		0001	Mühlhaus Hydraulik KG	
100	0000200268	FR	6670649201	78531058989		0001	Südheim Stahlbau S.A.	
100	0000200269	DE	98120515	0161950675		0001	Ulmensee Schweißtechnik GmbH	
100	0000200270	DE	91466425	7051411594		0001	Mühlhaus Speditionen KGaA	
100	0000200272	AT	48219	48125323334		0001	Ahornberg Formenbau GmbH	
100	0000200274	DE	98199901	5015274079		0001	Ostau Druckguss GmbH	
100	0000200275	DE	92480116	2133416385		0001	Haselau Fördertechnik GmbH & Co. KG	
100	0000200276	DE	98708429	6630955349		0001	Hartmark Recycling GmbH & Co. KG	
100	0000200277	IT	2282908632	809183015225		0001	Ulmenheim Zerspanung S.r.l.	
100	0000200278	DE	94421808	3478591601		0001	Haselried Textilien GmbH	
100	0000200279	DE	92587360	8749612086		0001	Südfels Logistik UG (haftungsbeschränkt)	
100	0000200280	DE	94542687	2108869349		0001	Südmark Antriebstechnik AG	
100	0000200281	DE	98589805	9709126314		0001	Lindenfels Messtechnik GmbH & Co. KG	
100	0000200282	DE	94355853	3078938899		0001	Oststein Lagertechnik GmbH & Co. KG	
100	0000200283	DE	95887603	5330412704		0001	Buchenheim Hydraulik GmbH & Co. KG	
100	0000200285	DE	93221141	3536459997		0001	Falkenmark Getränke GmbH & Co. KG	
100	0000200286	DE	95681499	4554100804		0001	Bergfurt Schweißtechnik KGaA	
100	0000200287	DE	95065503	6212396460		0001	Bergtal Systemtechnik UG (haftungsbeschränkt)	
100	0000200288	DE	94448673	1974844727		0001	Birkenbach Industrieservice GmbH	
100	0000200289	DE	90669361	8251466649		0001	Falkenheim Fördertechnik GmbH & Co. KG	
100	0000200291	AT	45772	58258400713		0001	Ulmenberg Druckguss GmbH	
100	0000200292	DE	98175684	0135661832		0001	Hochsee Schleiftechnik GmbH	
100	0000200295	DE	93791636	6450727177		0001	Kiefernberg Formenbau GmbH	
100	0000200296	DE	93066354	6619754139		0001	Talfels Schleiftechnik UG (haftungsbeschränkt)	
100	0000200297	AT	68788	67028571083		0001	Buchenmark Recycling AG	
100	0000200298	DE	94418526	9344090350		0001	Ulmenbach Textilien GmbH	
100	0000200304	DE	93025062	4730764300		0001	Birkensee Haustechnik GmbH	
100	0000200305	NL	UPHR	6300941398		0001	Kleinburg Dichtungstechnik N.V.	
100	0000200306	DE	97124416	8776905592		0001	Buchenfurt Präzisionsteile GmbH	
100	0000200307	DE	95778846	1274776383		0001	Buchenhof Textilien UG (haftungsbeschränkt)	
100	0000200309	DE	95517263	5110674481		0001	Reinsee Verpackungen GmbH	
100	0000200310	DE	92809736	5746924287		0001	Sandburg Verpackungen GmbH	
100	0000200311	AT	09656	18549400837		0001	Reinbrück Elektrotechnik KG	
100	0000200312	NL	VEBC	5077558069		0001	Haselgrund Umformtechnik N.V.	
100	0000200313	DE	95948047	0182142152		0001	Lärchenburg Schleiftechnik GmbH & Co. KG	
100	0000200317	DE	96942601	7064414682		0001	Haselwald Kunststofftechnik GmbH & Co. KG	
100	0000200318	NL	HACU	3214863031		0001	Kleinsee Fahrzeugteile B.V.	
100	0000200319	DE	97631680	5208666589		0001	Erlenau Recycling AG	
100	0000200320	DE	95896228	9018286567		0001	Eichfurt Fahrzeugteile GmbH & Co. KG	
100	0000200321	DE	98149615	9054307734		0001	Birkenhaus Logistik GmbH	
100	0000200322	DE	96008552	5953496472		0001	Fichtensee Lagertechnik KG	
100	0000200323	DE	98003857	9025587120		0001	Altdorf Dichtungstechnik UG (haftungsbeschränkt)	
100	0000200324	NL	WTGE	5889850461		0001	Feldried Kunststofftechnik N.V.	
100	0000200325	DE	94951002	2093935437		0001	Espenheim Bedachungen GmbH & Co. KG	
100	0000200327	CH	15730	896372557188		0001	Nordstein Sanitärtechnik GmbH	
100	0000200328	DE	95198915	1378903962		0001	Ostweg Metallbau OHG	
100	0000200330	DE	90613570	2734739446		0001	Holunderfeld Präzisionsteile GmbH	
100	0000200331	DE	93764994	9976716510		0001	Zederburg Lebensmittel e.K.	
100	0000200333	DE	91336230	7538364592		0001	Bernmark Zerspanung UG (haftungsbeschränkt)	
100	0000200334	IT	0572366623	380456906188		0001	Erlengrund Getränke S.r.l.	
100	0000200335	DE	93824005	5514726614		0001	Steindorf Hydraulik GmbH	
100	0000200336	FR	8319480824	76097427380		0001	Feldmark Bedachungen S.A.	
100	0000200338	DE	92671024	9020826540		0001	Grünweg Hydraulik eG	
100	0000200339	DE	94221777	7564589777		0001	Fichtenhof Formenbau GmbH	
100	0000200340	IT	6236863492	478700296536		0001	Weidenweg Recycling S.r.l.	
100	0000200341	DE	95709494	2309452195		0001	Hochberg Speditionen GmbH	
100	0000200342	DE	91622047	0486346867		0001	Bergwald Fördertechnik OHG	
100	0000200343	DE	90014672	3697152553		0001	Langhaus Fahrzeugteile e.K.	
100	0000200344	DE	90781653	5848535256		0001	Fichtenwald Messtechnik GmbH	
100	0000200345	DE	95872741	2890588077		0001	Ulmensee Stahlbau GmbH	
100	0000200346	NL	FADL	2483512605		0001	Westau Papier B.V.	
100	0000200348	DE	94422720	8623964371		0001	Falkenheim Anlagenbau GmbH	
100	0000200349	DE	90585839	0134490988		0001	Nordwald Chemie GmbH & Co. KG	
100	0000200350	DE	97958363	2566675932		0001	Falkenau Getränke GmbH	
100	0000200351	FR	8326484501	45644409766		0001	Bernsee Haustechnik S.A.R.L.	
100	0000200354	DE	91321355	3573329804		0001	Berggrund Haustechnik GmbH	
100	0000200355	FR	4338806893	10825981915		0001	Altfels Möbelwerke S.A.S.	
100	0000200356	DE	95881695	7972144671		0001	Espenmark Chemie SE	
100	0000200358	DE	97810348	6413299983		0001	Grünheim Behälterbau GmbH	
100	0000200361	DE	99933586	0558701776		0001	Talbach Haustechnik GmbH	
100	0000200364	FR	9210665003	65631866140		0001	Kiefernried Elektrotechnik S.A.	
100	0000200365	DE	96277949	0399809714		0001	Buchenbach Werkzeugbau OHG	
100	0000200366	DE	98461172	5988361529		0001	Bernried Oberflächentechnik GmbH	
100	0000200367	PL	78901415	0255262379885563		0001	Weidenfels Schweißtechnik S.A.	
100	0000200368	DE	99597105	6893934879		0001	Weidendorf Fahrzeugteile AG	
100	0000200369	DE	91185080	3984184418		0001	Holunderdorf Apparatebau UG (haftungsbeschränkt)	
100	0000200371	NL	ZYKZ	6790821563		0001	Nordheim Recycling N.V.	
100	0000200372	DE	98772638	2671474860		0001	Brandgrund Anlagenbau GmbH	
100	0000200376	DE	94294249	1801335610		0001	Ahornfels Möbelwerke AG	
100	0000200377	DE	93087136	6050790314		0001	Haselfurt Anlagenbau GmbH	
100	0000200379	DE	90355251	5051173056		0001	Mühldorf Elektrotechnik KG	
100	0000200380	AT	39524	45490446838		0001	Südweg Hydraulik GmbH	
100	0000200382	DE	96166467	6387705102		0001	Rotdorf Elektrotechnik GmbH	
100	0000200384	DE	97744479	6144200979		0001	Kiefernfeld Schleiftechnik GmbH	
100	0000200386	DE	91310192	2065704636		0001	Buchenfeld Industrieservice KG	
100	0000200387	DE	93439152	2130039004		0001	Eichbrück Textilien AG	
100	0000200389	IT	5937848058	535062652428		0001	Rotwald Getränke S.p.A.	
100	0000200390	DE	99945378	2556007693		0001	Ostdorf Armaturen AG	
100	0000200391	NL	PBPJ	6170865603		0001	Reinburg Behälterbau B.V.	
100	0000200392	DE	97430502	3787535149		0001	Dornmark Stahlbau KG	
100	0000200393	DE	92860193	1335198884		0001	Berghaus Apparatebau GmbH & Co. KG	
100	0000200394	DE	96078207	0905017987		0001	Neubrück Lebensmittel KG	
100	0000200395	IT	5665032865	627076050628		0001	Kleinbach Werkzeugbau S.p.A.	
100	0000200396	DE	92311786	5483746430		0001	Erlenau Lebensmittel AG	
100	0000200397	DE	91902863	7432426495		0001	Buchenbach Lagertechnik SE	
100	0000200400	DE	99591530	6212873331		0001	Holunderfeld Bauelemente AG	
100	0000200403	IT	3425436075	533978894403		0001	Nordmark Maschinenbau S.r.l.	
100	0000200404	DE	90679613	1035841023		0001	Kleinmark Papier UG (haftungsbeschränkt)	
100	0000200405	DE	91605328	9171187879		0001	Eichmark Maschinenbau GmbH	
100	0000200406	DE	92444421	6225100025		0001	Mühlfurt Messtechnik GmbH	
100	0000200407	DE	94732374	9576960363		0001	Bergbrück Armaturen GmbH	
100	0000200409	DE	91206032	7333223131		0001	Bernwald Schweißtechnik GmbH	
100	0000200410	DE	96020095	5138337120		0001	Altwald Oberflächentechnik SE	
100	0000200411	DE	90545706	1635749814		0001	Dornmark Kunststofftechnik SE	
100	0000200412	IT	0709248045	585076140131		0001	Erlenhof Maschinenbau S.p.A.	
100	0000200413	DE	97614002	8396514098		0001	Fichtenberg Textilien GmbH & Co. KG	
100	0000200414	PL	55122294	7264020524199292		0001	Dornfels Schweißtechnik S.A.	
100	0000200415	DE	90244255	9517298296		0001	Talhof Sanitärtechnik KGaA	
100	0000200416	DE	95609387	2392470370		0001	Dornwald Werkzeugbau GmbH & Co. KG	
100	0000200417	DE	91223041	7076339443		0001	Mühltal Elektrotechnik e.K.	
100	0000200418	NL	GRIV	2696292126		0001	Falkenburg Formenbau B.V.	
100	0000200419	AT	92950	41556568692		0001	Buchenweg Apparatebau AG	
100	0000200420	CH	08499	092945373680		0001	Südburg Umformtechnik AG	
100	0000200421	DE	98959277	1673322784		0001	Lärchenburg Recycling GmbH	
100	0000200422	DE	97191046	1788644432		0001	Kiefernsee Dichtungstechnik AG	
100	0000200424	DE	97358423	0374818582		0001	Hochheim Möbelwerke GmbH & Co. KG	
100	0000200426	NL	WBAO	4507635477		0001	Falkenheim Schweißtechnik B.V.	
100	0000200427	DE	92817339	3896561910		0001	Bergau Klimatechnik GmbH	
100	0000200429	DE	94501135	2324288131		0001	Grünheim Formenbau GmbH	
100	0000200430	AT	33360	68649674865		0001	Lindenwald Kunststofftechnik GmbH	
100	0000200431	DE	97987374	0371906777		0001	Zederstein Speditionen GmbH	
100	0000200434	DE	91219797	4386174613		0001	Eichdorf Bauelemente AG	
100	0000200436	FR	3441330632	00522678552		0001	Lärchental Zerspanung S.A.R.L.	
100	0000200437	DE	94398756	9251870909		0001	Mühlfeld Bedachungen GmbH	
100	0000200438	DE	99930252	7975288796		0001	Hartweg Industrieservice GmbH	
100	0000200439	DE	90768482	5667464167		0001	Kiefernhaus Sanitärtechnik AG	
100	0000200441	DE	92772718	1170940297		0001	Kieferntal Logistik OHG	
100	0000200442	CH	32549	993391888318		0001	Südgrund Lebensmittel AG	
100	0000200443	CH	13581	109739795363		0001	Harthaus Umformtechnik GmbH	
100	0000200444	DE	97868794	0029591549		0001	Talfels Elektrotechnik UG (haftungsbeschränkt)	
100	0000200445	DE	95900960	9266602343		0001	Langsee Oberflächentechnik GmbH	
100	0000200446	DE	91675484	3652068575		0001	Südbach Dichtungstechnik GmbH & Co. KG	
100	0000200448	DE	95498706	9629804914		0001	Reindorf Bauelemente GmbH	
100	0000200449	FR	8612951236	25454326114		0001	Weidenstein Pumpen S.A.S.	
100	0000200452	DE	98750103	4589389957		0001	Talhaus Zerspanung GmbH	
100	0000200453	AT	72867	92017593439		0001	Buchenbrück Verpackungen AG	
100	0000200455	NL	MMGS	2525218645		0001	Espendorf Fördertechnik B.V.	
100	0000200456	DE	95038670	7797849517		0001	Neuheim Anlagenbau AG	
100	0000200459	FR	6895748809	89853371287		0001	Kiefernburg Systemtechnik S.A.	
100	0000200460	DE	96643570	3894690805		0001	Falkenhaus Kunststofftechnik KG	
100	0000200461	DE	92063217	9769475455		0001	Nordtal Zerspanung KGaA	
100	0000200462	DE	95043811	3331829655		0001	Birkengrund Elektrotechnik KG	
100	0000200465	DE	91670823	7504427202		0001	Fichtenhof Recycling GmbH	
100	0000200467	DE	95370539	4246041280		0001	Grünstein Anlagenbau GmbH	
100	0000200469	DE	95474937	5924999110		0001	Rheinhaus Präzisionsteile GmbH	
100	0000200470	DE	92044229	4398561876		0001	Kleinburg Industrieservice GmbH	
100	0000200471	DE	98968076	1055731962		0001	Eichfels Bauelemente KG	
100	0000200472	DE	91174151	5466951161		0001	Zederfeld Haustechnik GmbH	
100	0000200473	DE	91730525	1709895324		0001	Weißried Pumpen GmbH & Co. KG	
100	0000200475	DE	94258721	8389978626		0001	Kleingrund Anlagenbau GmbH	
100	0000200476	DE	92357180	7658653364		0001	Holunderfeld Pumpen e.K.	
100	0000200477	PL	04305366	7086656778300841		0001	Kleingrund Umformtechnik Sp. z o.o.	
100	0000200478	DE	92873769	3052169467		0001	Kleinhof Pumpen GmbH	
100	0000200479	DE	92090972	2378565258		0001	Reinberg Umformtechnik e.K.	
100	0000200481	DE	93517261	1316551934		0001	Neuheim Formenbau GmbH	
100	0000200483	AT	58021	86816184603		0001	Steinheim Messtechnik GmbH	
100	0000200484	PL	85236695	5891256134876391		0001	Steinberg Fördertechnik Sp. z o.o.	
